"Class","Accuracy","Precision","Recall","F1-Score","ROC AUC"
"59931005","0.9095757013679573","1","0.04878048780487805","0.09302325581395349","0.524390243902439"
"427172004","0.9809877115696731","1","0.21904761904761905","0.35937499999999994","0.6095238095238096"
"427393009","0.9640621377231625","1","0.2824074074074074","0.4404332129963898","0.6412037037037037"
"698252002","0.983306283329469","1","0.3333333333333333","0.5","0.6666666666666666"
"164890007","0.9921168560166937","1","0.37037037037037035","0.5405405405405406","0.6851851851851851"
"164947007","0.9911894273127754","1","0.42424242424242425","0.5957446808510638","0.7121212121212122"
"426627000","0.9888708555529794","1","0.42857142857142855","0.6","0.7142857142857143"
"284470004","0.9587294226756318","1","0.47337278106508873","0.642570281124498","0.7366863905325444"
"111975006","0.968931138418734","1","0.5331010452961672","0.6954545454545454","0.7665505226480835"
"164934002","0.9144447020635289","1","0.5844594594594594","0.7377398720682302","0.7922297297297297"
"713426002","0.9756549965221424","1","0.6037735849056604","0.7529411764705882","0.8018867924528301"
"270492004","0.9635984233712034","1","0.6207729468599034","0.7660208643815201","0.8103864734299517"
"47665007","0.9946672849524693","1","0.6461538461538462","0.7850467289719627","0.823076923076923"
"445118002","0.9768142824020404","1","0.6621621621621622","0.7967479674796748","0.8310810810810811"
"39732003","0.9473684210526315","1","0.7483370288248337","0.8560558021559924","0.8741685144124168"
"164889003","0.9777417111059588","1","0.7793103448275862","0.875968992248062","0.8896551724137931"
"713427006","0.9777417111059588","1","0.7828054298642534","0.8781725888324874","0.8914027149321266"
"427084000","0.9830744261534895","1","0.7871720116618076","0.8809135399673736","0.8935860058309038"
"251146004","0.9981451425921632","1","0.8431372549019608","0.9148936170212766","0.9215686274509804"
"426177001","0.9895664270809181","1","0.8489932885906041","0.9183303085299457","0.924496644295302"
"164909002","0.996522142360306","1","0.8529411764705882","0.9206349206349206","0.9264705882352942"
"426783006","0.9234871319267332","1","0.8792535675082327","0.9357476635514018","0.9396267837541163"
"164917005","0.9995362856480408","1","0.9615384615384616","0.9803921568627451","0.9807692307692308"
"10370003","1","1","1","1","1"